ID,Category,Broker,Area,Title,Severity,Status,OpenAlgo Behavior,OpenBull Current,Suggested Fix,Reference Files
RT-01,Realtime,core,frontend,Positions page is REST-poll only (not realtime),High,Done,"Renders enhancedPositions from useLivePrice; recomputes LTP/PnL per WS tick","useQuery REST polling only; static rows; no WS subscription","Wire useLivePrice into Positions.tsx; render enhancedPositions; recompute filtered rows on tick","openalgo frontend/src/pages/Positions.tsx; openbull frontend/src/pages/Positions.tsx"
RT-02,Realtime,core,frontend,Holdings page is REST-poll only (not realtime),High,Done,"Renders enhancedHoldings; recomputes totalholdingvalue/pnl/pnl% per tick","useQuery refetch ~30s; stats off static data","Wire useLivePrice into Holdings.tsx; recompute totals per tick","openalgo frontend/src/pages/Holdings.tsx; openbull frontend/src/pages/Holdings.tsx"
RT-03,Realtime,core,hook,Missing useLivePrice (and useLiveQuote) hook,High,Done,"useLivePrice subscribes per-symbol LTP via useMarketData and merges ticks into rows","Hook does not exist; useMarketData/usePageVisibility exist but unused by portfolio pages","Port useLivePrice.ts (+useLiveQuote.ts) from openalgo; reuse openbull useMarketData","openalgo frontend/src/hooks/useLivePrice.ts; openalgo frontend/src/hooks/useLiveQuote.ts; openbull frontend/src/hooks/useMarketData.ts"
RT-04,Realtime,core,frontend,No Live/Paused status badge,Low,Done,"Badge with Radio icon shows Live when streaming, Paused when hidden","No streaming-status indicator","Add Live/Paused badge driven by useLivePrice isLive/isPaused","openalgo frontend/src/pages/Positions.tsx; openalgo frontend/src/pages/Holdings.tsx"
RT-05,Realtime,core,hook,No MultiQuotes REST fallback when WS down,Med,Open,"useLivePrice polls getMultiQuotes ~30s as fallback data source","useLivePrice ported (WS live + recompute) but NO REST fallback yet; openbull has no frontend multiquotes API binding nor an auth store/apiKey source on the client","Add a frontend multiquotes API binding (reuse getWebSocketApiKey for the apiKey) + a backend quotes route, then add the polling fallback branch to useLivePrice","openalgo frontend/src/hooks/useLivePrice.ts; openbull frontend/src/hooks/useLivePrice.ts"
RT-06,Realtime,core,hook,No pause-when-hidden for portfolio streams,Low,Done,"pauseWhenHidden pauses WS+polling when tab hidden, resumes on focus","usePageVisibility exists but not wired to portfolio streaming","Wire usePageVisibility through useLivePrice (pauseWhenHidden:true)","openalgo frontend/src/hooks/useLivePrice.ts; openbull frontend/src/hooks/usePageVisibility.ts"
DHAN-01,Broker,dhan,mapping,Holdings show stale P&L (pass-through map_portfolio_data),High,Done,"map_portfolio_data batch-fetches LTP via multiquotes, resolves NSE/BSE from securityId, enriches _oa_symbol/_exchange/_ltp","Pass-through; computes P&L from avgCostPrice; no live LTP fetch","Port LTP batch-fetch + exchange enrichment chain","openalgo broker/dhan/mapping/order_data.py; openbull backend/broker/dhan/mapping/order_data.py"
DHAN-02,Broker,dhan,mapping,Holding value uses avgCostPrice not live LTP,Med,Done,"calculate_portfolio_statistics uses enriched _ltp, falls back to avgCostPrice","Uses avgCostPrice for both invested and holding value; P&L=0 until quotes","Use enriched _ltp for totalholdingvalue when available","openalgo broker/dhan/mapping/order_data.py; openbull backend/broker/dhan/mapping/order_data.py"
DHAN-03,Broker,dhan,funds,Missing test_auth_token validation,Med,Done,"test_auth_token validates token via /v2/fundlimit before queries","Not implemented","Add test_auth_token to validate broker token","openalgo broker/dhan/api/funds.py; openbull backend/broker/dhan/api/funds.py"
DHAN-04,Broker,dhan,auth,authenticate_broker omits dhanClientId,Low,N/A,"Returns (access_token, dhan_client_id, error)","Returns (access_token, error) 2-tuple - uniform contract across all 5 brokers; dhan client_id already flows via config and is used by order placement","N/A by design: a 3-tuple return would break the generic OAuth callback; client_id is supplied via config, not the auth return","openbull backend/broker/dhan/api/auth_api.py"
GRK-01,Greeks,core,service,Use opengreeks instead of hand-rolled Black-76 (single engine behind all /tools),High,Done,"Lazy-imports opengreeks.black76 (Rust, NumPy-only, bit-identical, ~50-180x faster); check_opengreeks_availability(). Every /tools greek tool (Strategy Builder, GEX, IV Smile, Vol Surface, snapshot Greeks) delegates to calculate_greeks here","Hand-rolled pure-math Black-76 (NOT py_vollib) in option_greeks_service.py; all /tools services already delegate to it via calculate_greeks/parse_option_symbol","Swap the core math (_black76_price/_implied_vol/_greeks) to opengreeks.black76 + add dep. This upgrades ALL /tools greek tools at once. PRESERVE return units (theta/365, vega/100) since iv_chart_service consumes _greeks directly; verify opengreeks unit conventions before swap","openalgo services/option_greeks_service.py; openbull backend/services/option_greeks_service.py; openbull backend/services/{strategy_builder,gex,iv_smile,vol_surface}_service.py"
GRK-02,Greeks,core,service,Missing get_multi_option_greeks batch endpoint,Med,Done,"get_multi_option_greeks: one spot fetch per underlying + get_multiquotes for options","Not present","Port get_multi_option_greeks batch function","openalgo services/option_greeks_service.py"
GRK-03,Greeks,core,service,No crypto-exchange branch in greeks,Low,N/A,"get_underlying_exchange handles CRYPTO_EXCHANGES","No crypto branch","Add crypto branch only if openbull targets crypto","openalgo services/option_greeks_service.py"
GRK-04,Greeks,core,service,iv_chart_service uses internal _implied_vol/_greeks directly,Med,Done,"openalgo iv_chart_service lazy-loads opengreeks.black76 directly (black_iv) for its IV series","openbull iv_chart_service imports _implied_vol/_greeks from option_greeks_service (lines 24/267/278) - the /tools/greeks Historical tool","Keep _implied_vol/_greeks as thin opengreeks-backed wrappers so iv_chart_service needs no change, OR mirror openalgo and call opengreeks directly","openalgo services/iv_chart_service.py; openbull backend/services/iv_chart_service.py"
STR-01,Broker,upstox,streaming,No silent-stall / health detection,High,Open,"upstox_client.py: 90s DATA_TIMEOUT, 30s health check, reconnect budget","Reconnect loop exists but no stall detection; silent feed never recovers","Add health-check loop + stall-triggered reconnect","openalgo broker/upstox/streaming/upstox_client.py; openbull backend/broker/upstox/streaming/upstox_adapter.py"
STR-02,Broker,zerodha,streaming,Single-file adapter; missing auth-fail short-circuit + incremental subscribe,Med,Open,"Split adapter/websocket/mapping; auth-failure short-circuit; incremental batch subscription","Single zerodha_adapter.py; lacks those resilience behaviors","Port auth-fail short-circuit and incremental subscribe (file-split optional)","openalgo broker/zerodha/streaming/; openbull backend/broker/zerodha/streaming/zerodha_adapter.py"
GTT-01,Broker,zerodha,order_api,No GTT (SINGLE/OCO) support,Med,Open,"gtt_api.py + gtt_data.py: place/modify/cancel/list GTT with market-price protection","No gtt_api.py / gtt_data.py","Port GTT module if GTT is in scope","openalgo broker/zerodha/api/gtt_api.py; openalgo broker/zerodha/mapping/gtt_data.py"
GTT-02,Broker,dhan,order_api,No Forever Order (GTT) support,Low,Open,"Dhan Forever Order module (SINGLE/OCO)","Not present","Port Dhan Forever Order if in scope","openalgo broker/dhan/api/ (gtt); openbull backend/broker/dhan/api/"
DATA-01,Broker,upstox,data,No GLOBAL_INDICATOR LTP handling,Med,Open,"LTP-only path via /v2/market-quote/ltp for USDINR/BRENTOIL/WTIOIL feed symbols","No GLOBAL_INDICATOR branch; fails on those symbols","Add indicator detection + LTP fallback","openalgo broker/upstox/api/data.py; openbull backend/broker/upstox/api/data.py"
DATA-02,Broker,zerodha,data,History oi not cast to int,Low,Open,"final_df['oi'] = final_df['oi'].astype(int)","oi returned without int cast","Cast oi to int in history result","openalgo broker/zerodha/api/data.py; openbull backend/broker/zerodha/api/data.py"
NA-01,No action,fyers,database,Master-contract name=Underlying fix (openbull ahead),Info,No action,"name=Symbol Details on F&O (causes underlying-picker explosion)","name=Underlying symbol for F&O (correct)","Keep openbull; do not sync back","openbull backend/broker/fyers/database/master_contract_db.py"
